Date (Capture local),Time (Capture local),"SELECCION DEL HUMEDAL, MICROCUENCA O SITIO",REGISTRO DEL INDIVIDUO VEGETAL,UBICACION DEL INDIVIDUO VEGETAL,FOTOGRAFIA DEL INDIVIDUO VEGETAL,NOMBRE COMUN DE LA ESPECIE,NOMBRE CIENTIFICO (OPCIONAL),TIPO DE PLANTA,ALTURA DE LA PLANTA,pH del suelo,TEMPERATURA DEL SITIO,HUMEDAD RELATIVA,DIAGNOSTICO DE ESTADO FITOSANITARIO,Latitude,Longitude
2026-08-19,11:09:32,HUMEDAL LLANITOS,,,PHOTO_2026-08-19T11_07_24_759.jpg,Roble,Quercus humboldtii,Arbol,800,6.0,29.1,40,567fbce251b54199a2d02891dd85f443.wav,5.15798,-75.49368833
2026-08-19,10:58:07,HUMEDAL LLANITOS,,,PHOTO_2026-08-19T10_55_17_414.jpg,Cedro rosado,Cedrela odorata,Arbol,800,5.9,25.2,48,8c0cccc5f0cd4f23880bcaa1cb8c6ab8.wav,5.157893333,-75.494705
2026-08-19,10:35:44,HUMEDAL LLANITOS,,,PHOTO_2026-08-19T10_31_31_129.jpg,Badea de monte o granadilla silvestre ,Passiflora,Juncácea o junco,800,5.9,26.1,40,8ea57643494444f4b20844756d0e303f.wav,5.158075,-75.49569167
2026-08-19,10:24:13,HUMEDAL LLANITOS,,,PHOTO_2026-08-19T10_19_27_117.jpg,Camargo,Smallanthus pyramidalis,Arbol,800,6.1,25.2,45,c708c3f8c4184bea9608e7a864d6fac8.wav,5.158058333,-75.49564667
2026-08-19,10:15:32,HUMEDAL LLANITOS,,,PHOTO_2026-08-19T10_11_08_630.jpg,Drago,Croton magdalenensis,Arbol,1200,6.2,25.1,43,ab8b6028f3304dbf8265eb09665f4b8a.wav,5.158041667,-75.49604333
2026-08-19,09:54:40,HUMEDAL LLANITOS,,,PHOTO_2026-08-19T09_51_07_185.jpg,Bolso blanco,Heliocarpus americanus,Arbol,400,6.3,28.1,45,63f2bfc7c1f74f9db2062052cd613e42.wav,5.157993333,-75.49610833
2026-08-19,09:32:44,HUMEDAL LLANITOS,,,PHOTO_2026-08-19T09_27_19_306.jpg,Rascadera,,Herbacea,800,7.0,27.6,50,17b81ab0c427498a9cc265115f1182b4.wav,5.151761667,-75.50163667
2026-08-19,09:04:48,HUMEDAL LLANITOS,Es0ecies varias,,PHOTO_2026-08-19T09_00_11_303.jpg,Arboloco,,Arbol,2000,7.0,24.3,61,f15587d949464b39b4d138fc6a158e36.wav,5.152275,-75.50739333
2026-08-06,09:00:51,HUMEDAL CASAS VIEJAS,,,PHOTO_2026-08-06T08_56_02_570.jpg,El botón de oro,Ranunculus acris,Arbusto,300,5.8,22.0,85,3f9abd20f1ee48d3b2bb0d46cf581157.wav,5.131081667,-75.5205
2026-08-06,08:49:43,HUMEDAL CASAS VIEJAS,,,PHOTO_2026-08-06T08_40_01_124.jpg,Camargo,Smallanthus pyramidalis,Arbol,350,5.5,21.0,90,1b5068040f7c41a5ac726e1ff10f2344.wav,5.131478333,-75.52056167
