nombre,cientifico,tipo,altura_cm,ph,temperatura_c,humedad_pct,sitio,fecha,hora,lat,lng
El botón de oro,Ranunculus acris,Arbusto,300,5.8,22.0,85,Humedal Casas Viejas,2026-08-06,09:00:51,5.131081667,-75.5205
Camargo,Smallanthus pyramidalis,Árbol,350,5.5,21.0,90,Humedal Casas Viejas,2026-08-06,08:49:43,5.131478333,-75.52056167
Roble,Quercus humboldtii,Árbol,800,6.0,29.1,40,Humedal Llanitos,2026-08-19,11:09:32,5.15798,-75.49368833
Cedro rosado,Cedrela odorata,Árbol,800,5.9,25.2,48,Humedal Llanitos,2026-08-19,10:58:07,5.157893333,-75.494705
Badea de monte o granadilla silvestre,Passiflora,Juncácea o junco,800,5.9,26.1,40,Humedal Llanitos,2026-08-19,10:35:44,5.158075,-75.49569167
Camargo,Smallanthus pyramidalis,Árbol,800,6.1,25.2,45,Humedal Llanitos,2026-08-19,10:24:13,5.158058333,-75.49564667
Drago,Croton magdalenensis,Árbol,1200,6.2,25.1,43,Humedal Llanitos,2026-08-19,10:15:32,5.158041667,-75.49604333
Bolso blanco,Heliocarpus americanus,Árbol,400,6.3,28.1,45,Humedal Llanitos,2026-08-19,09:54:40,5.157993333,-75.49610833
Rascadera,Sin nombre científico,Herbácea,800,7.0,27.6,50,Humedal Llanitos,2026-08-19,09:32:44,5.151761667,-75.50163667
Arboloco,Sin nombre científico,Árbol,2000,7.0,24.3,61,Humedal Llanitos,2026-08-19,09:04:48,5.152275,-75.50739333
